country;total;poorest_20perc;richest_20perc;diff
Lao People's Democratic Republic;5;1;24;24
Ghana;6;1;23;22
Bhutan;6;1;24;23
Honduras;11;1;34;33
Dominican Republic;10;2;28;26
Bangladesh;9;2;23;20
Tunisia;18;3;40;37
Algeria;11;3;23;20
Yemen;10;4;31;28
Suriname;25;4;61;57
Tajikistan;17;4;33;29
Viet Nam;26;6;58;53
El Salvador;18;6;44;38
Panama;26;7;59;52
Morocco;21;9;52;44
Jordan;23;11;40;28
Syrian Arab Republic;30;12;53;41
Mongolia;33;13;57;44
Costa Rica;37;13;70;56
Kyrgyzstan;27;15;54;39
Mexico;35;15;64;49
Albania;32;16;52;37
The former Yugoslav Republic of Macedonia;52;18;81;62
Thailand;41;23;73;50
Belize;44;23;73;49
Guyana;47;25;76;51
Turkmenistan;48;30;66;36
Uzbekistan;43;32;59;27
Republic of Moldova;68;33;87;54
Jamaica;55;34;73;39
Kazakhstan;51;35;73;38
Bosnia and Herzegovina;56;39;73;34
Argentina;61;40;83;42
Georgia;58;40;74;33
Serbia;72;44;83;38
Montenegro;73;48;87;39
Trinidad and Tobago;81;66;93;27
